firstname,secondname,city
Steven,McCartney,Kiel
Johanna,Lennon,TelAviv
Albert,Lennon,London
Dana,Sutcliffe,Kiel
Marc,McCartney,Haifa
Scott,Harrison,NewYork
Albert,Preston,London
Johanna,Preston,Munchen
Albert,Harrison,PaloAlto
Albert,Preston,Haifa
Steven,Ono,Haifa
Albert,Ono,London
Scott,Harrison,Munchen
Dana,Starr,NewYork
Scott,Starr,NewYork
Marc,Epstein,London
Dana,Sutcliffe,Kiel
Albert,McCartney,London
Steven,Ono,London
John,McCartney,Munchen
Albert,Starr,London
Marc,Lennon,TelAviv
Johanna,Lennon,London
Steven,Ono,London
Scott,Lennon,PaloAlto
Albert,Starr,Hamburg
Michael,Sutcliffe,NewYork
Johanna,Ono,TelAviv
Dana,Sutcliffe,Kiel
John,McCartney,Kiel
Michael,Ono,Haifa
Michael,Sutcliffe,TelAviv
Michael,Starr,London
John,McCartney,NewYork
Dana,Preston,Munchen
John,Ono,Hamburg
Scott,Harrison,Hamburg
Steven,Preston,TelAviv
Steven,Lennon,Munchen
Steven,McCartney,Munchen
John,Lennon,Munchen
Albert,Epstein,Hamburg
Johanna,Lennon,Munchen
Albert,Starr,NewYork
Johanna,Starr,London
Steven,Ono,Munchen
Johanna,Starr,Haifa
John,Sutcliffe,Haifa
Steven,Ono,Kiel
Johanna,Harrison,London
Johanna,Ono,London
Albert,Sutcliffe,Kiel
Scott,Harrison,Haifa
John,Lennon,NewYork
Michael,Ono,London
Scott,Harrison,London
Steven,Harrison,NewYork
Scott,Harrison,Haifa
Steven,McCartney,NewYork
Steven,Sutcliffe,Munchen
Dana,McCartney,TelAviv
Steven,Sutcliffe,TelAviv
John,Starr,London
Albert,Ono,TelAviv
Albert,Preston,Hamburg
John,Ono,Kiel
Scott,Harrison,Kiel
Dana,Ono,NewYork
Marc,Lennon,NewYork
Steven,Harrison,NewYork
Steven,Lennon,NewYork
Marc,Lennon,NewYork
Albert,Preston,TelAviv
Scott,Lennon,PaloAlto
Dana,Harrison,London
Albert,Harrison,Hamburg
Marc,Lennon,London
Steven,Epstein,Munchen
Albert,Sutcliffe,Kiel
Marc,Epstein,Haifa
